datetime;qobs
2001-11-09 12:00:00.0;0.38144980443285526
2001-11-10 12:00:00.0;0.578910039113429
2001-11-11 12:00:00.0;0.4223780964797914
2001-11-12 12:00:00.0;0.36159582790091266
2001-11-13 12:00:00.0;0.32329595827900914
2001-11-14 12:00:00.0;0.2867796610169492
2001-11-15 12:00:00.0;0.3048031290743155
2001-11-16 12:00:00.0;0.2867796610169492
2001-11-17 12:00:00.0;0.578910039113429
2001-11-18 12:00:00.0;0.6520834419817471
2001-11-19 12:00:00.0;0.5321147327249022
2001-11-20 12:00:00.0;0.48696219035202093
2001-11-21 12:00:00.0;2.3417835723598435
